;product_id;origin;brand;name;reference;type;category;price;areaApplication;analysisDate;quantity;petitionDate;priority;evaluators;packaging;testedBy;consistency;brightness;firmness;stickiness;aqueousSensation;oilyFeeling;freshSensation;extensibility;easyAbsorption;glossSkin;skinStickiness;amountResidue;smoothnessSkin;silkyRes;waxyRes;greasyRes;oilyRes;homogeneity
0;6450e3f32277715c35aa0b2e;COMPETITOR;SISLEY;BLACK ROSE SKIN INFUSION CREAM;7274B0018;FACIAL CREAM;PRESTIGE;187 €;FACE;04/05/2023;False;02/05/2023;HIGH;;;;6.7;6.5;4.1;4.2;5.1;4.8;4.8;5.5;75.0;3.8;3.8;3.9;6.5;64.0;14.0;21.0;0.0;
1;6450e4fb2277715c35aa0e2f;COMPETITOR;SUNDAY RILEY;ICE CERAMIDE MOISTURIZING CREAM;7274B0019;FACIAL CREAM;NICHE;62.99 €;FACE;04/05/2023;False;02/05/2023;MEDIUM;;;;7.6;7.0;5.0;5.0;3.8;6.1;3.6;4.1;59.5;5.4;4.2;4.3;5.8;21.0;21.0;57.0;0.0;
2;6450e6392277715c35aa1432;COMPETITOR;FRESH;VITAMIN NECTAR GLOW JUICE ANTIOXIDANT FACE SERUM;7273E0002;;;;;10/05/2023;False;02/05/2023;MEDIUM;;;;1.9;7.4;0.4;0.7;6.7;2.5;4.7;8.2;82.4;4.6;2.2;3.1;6.7;71.0;0.0;7.0;21.0;
3;6450f6172277715c35aa1733;COMPETITOR;REN;EVERCALM BARRIER SUPPORT ELIXIR;7273D0005;;;;;10/05/2023;False;02/05/2023;MEDIUM;;;;0.4;9.9;0.3;0.3;0.4;0.4;0.7;9.8;83.1;7.9;1.2;6.2;7.8;35.0;0.0;0.0;78.0;
4;6450f6f62277715c35aa1a36;COMPETITOR;ERBORIAN;SKIN THERAPY MULTI-PERFECTING NIGHT OIL;7273E0003;FACIAL OIL;;;;10/05/2023;False;02/05/2023;MEDIUM;14;;;0.4;8.7;0.3;0.4;3.4;1.1;1.2;9.3;79.5;5.8;3.9;5.0;6.0;28.0;35.0;7.0;28.0;
5;64510c152277715c35aa1f86;COMPETITOR;GUERLAIN;INTENSE REPAIR YOUTH OIL-IN-BALM;7274B0017;FACIAL CREAM;PRESTIGE;;FACE;27/04/2023;False;02/05/2023;MEDIUM;;GLASS JAR;;7.1;6.6;4.6;4.7;4.5;5.4;4.3;5.0;62.0;5.5;4.6;4.5;6.0;29.0;5.0;64.0;0.0;
6;64510ca52277715c35aa228d;COMPETITOR;GUERLAIN;ABEILLE ROYALE - NIGHT CREAM;7274C0012;FACIAL CREAM;PRESTIGE;;FACE;27/04/2023;False;02/05/2023;MEDIUM;;GLASS JAR;;7.8;5.5;5.2;5.1;4.0;6.2;3.1;4.5;67.8;5.9;4.1;4.4;6.2;35.0;5.0;58.0;0.0;
7;64510dae2277715c35aa2596;COMPETITOR;WASO;YUZU-C GLOW-ON SHOT SERUM;7273E0001;FACIAL OIL;;;FACE;23/05/2023;False;02/05/2023;MEDIUM;14;;;0.2;8.1;0.2;0.3;5.3;1.0;2.5;9.1;88.9;4.3;3.3;3.9;6.5;39.0;11.0;39.0;11.0;
8;64512fe32277715c35aa2d2e;COMPETITOR;URIAGE;AGE LIFT - PROTECTIVE SMOOTHING DAY CREAM;7869B0001;FACIAL CREAM;DERMA;;FACE;23/05/2023;False;02/05/2023;MEDIUM;14;;;5.8;6.9;3.6;3.8;4.1;5.7;4.2;4.7;77.1;4.8;3.2;3.9;6.4;57.0;21.0;21.0;0.0;
9;6451305e2277715c35aa303b;COMPETITOR;URIAGE;DÉPIDERM - ANTI-BROWN SPOT DAYTIME CARE;7869B0002;FACIAL CREAM;DERMA;;FACE;24/05/2023;False;02/05/2023;MEDIUM;17;;;5.2;7.6;3.1;3.3;4.3;5.7;4.4;4.7;68.6;5.6;3.7;4.3;6.0;41.0;0.0;53.0;6.0;
10;645135322277715c35aa334a;COMPETITOR;URIAGE;BARIÉSUN - MINERAL CREAM SPF50+;7869D0001;FACIAL CREAM;DERMA;;FACE;24/05/2023;False;02/05/2023;MEDIUM;17;;;7.0;6.3;4.6;4.5;3.2;6.8;2.1;3.9;73.5;6.4;3.7;4.8;6.1;32.0;0.0;62.0;6.0;
11;645135c32277715c35aa365b;COMPETITOR;ISDIN;FOTOPROTECTOR - FUSIONWATER COLOR LIGHT SPF50;7869C0002;FACIAL CREAM;DERMA;;FACE;01/05/2023;False;02/05/2023;MEDIUM;14;;;2.6;8.2;1.0;1.1;6.5;3.5;4.6;6.6;51.6;3.2;3.4;3.2;5.8;39.0;61.0;0.0;0.0;
12;645136662277715c35aa396e;COMPETITOR;URIAGE;BARIÉSUN - TINTED CREAM SPF50+;7869C0001;FACIAL CREAM;DERMA;;FACE;25/05/2023;False;02/05/2023;MEDIUM;14;;;5.8;7.7;3.0;3.2;4.3;5.5;3.8;4.8;53.1;4.2;3.7;4.1;5.4;25.0;46.0;29.0;0.0;
13;645137e02277715c35aa3c83;COMPETITOR;URIAGE;BARIÉSUN 100 - EXTREME PROTECTIVE FLUID SPF50+;7869D0002;FACIAL CREAM;DERMA;;FACE;25/05/2023;False;02/05/2023;MEDIUM;14;;;4.6;7.6;2.3;2.6;4.3;5.7;3.8;4.7;49.5;4.7;4.0;4.1;5.6;18.0;7.0;75.0;0.0;
14;645139212277715c35aa3f9a;COMPETITOR;URIAGE;BARIÉSUN - ANTI-BROWN SPOT FLUID SPF50+;7869E0001;FACIAL CREAM;DERMA;;FACE;25/05/2023;False;02/05/2023;MEDIUM;14;;;5.3;7.0;3.0;3.2;4.6;5.4;3.9;4.8;55.7;4.5;3.4;3.8;6.0;43.0;0.0;57.0;0.0;
15;64513a2b2277715c35aa42b3;COMPETITOR;ISDIN;FOTOPROTECTOR - FUSIONWATER MAGIC - SPF50;7869D0003;FACIAL CREAM;DERMA;;FACE;07/06/2023;False;02/05/2023;MEDIUM;16;;;2.1;7.6;1.3;1.5;6.8;3.9;5.0;6.9;52.2;3.5;3.7;3.4;6.2;63.0;31.0;6.0;0.0;
16;645273c22277715c35aa4b78;COMPETITOR;REN;EVERCALM OVERNIGHT RECOVERY BALM;7321A0004;;;;;18/05/2023;False;03/05/2023;MEDIUM;;;;8.7;5.9;6.4;6.6;1.9;3.3;2.1;6.3;88.7;7.8;2.3;4.9;6.9;12.0;6.0;12.0;81.0;
17;64537c072277715c35aa5621;PUIG;BYREDO;PUIG_00000;8072A0001;;;;;04/05/2023;True;04/05/2023;MEDIUM;;;;6.8;5.1;4.2;4.4;4.7;5.3;4.5;4.9;67.9;4.4;3.4;3.8;6.5;57.0;7.0;35.0;0.0;
18;645d126cfd2be73cff71eb0f;PUIG;NINA RICCI;PUIG_00001;7238A0007;BODY LOTION;PRESTIGE;;BODY;12/01/2023;True;11/05/2023;MEDIUM;;;;6.4;6.0;3.9;4.0;4.8;5.1;4.7;5.1;51.4;3.4;3.1;3.3;6.6;80.0;6.0;6.0;6.0;
19;645e0a51fd2be73cff71f14a;COMPETITOR;SCENT LIBRARY;BODY LOTION – L.B.K WATER;8097B0001;;;;;;False;12/05/2023;HIGH;;;;6.2;6.4;4.0;4.0;4.9;5.0;4.0;5.1;64.9;4.1;3.3;3.6;6.5;73.0;13.0;13.0;0.0;
20;645e0ad3fd2be73cff71f473;COMPETITOR;SCENT LIBRARY;BODY LOTION – WATERMELON JUICE;8097B0002;;;;;;False;12/05/2023;HIGH;;;;5.5;7.2;2.7;2.7;6.3;3.5;4.1;6.4;65.4;4.3;3.2;3.6;6.5;80.0;13.0;6.0;0.0;
21;645e0c58fd2be73cff71f79e;COMPETITOR;SCENT LIBRARY;BODY LOTION –  THE ATLANTIC;8097B0003;;;;;;False;12/05/2023;HIGH;;;;5.7;6.1;3.6;3.7;5.5;4.5;4.3;5.6;59.4;2.9;2.5;2.8;7.2;86.0;13.0;0.0;0.0;
22;645e0ce4fd2be73cff71facb;COMPETITOR;SCENT LIBRARY;BODY LOTION –  GARDENIA BLOSSOM;8097B0005;;;;;17/05/2023;False;12/05/2023;HIGH;;;;6.0;7.2;3.6;3.7;5.3;4.7;4.3;5.4;57.2;3.6;3.5;3.5;6.5;82.0;17.0;0.0;0.0;
23;645e0d46fd2be73cff71fdfa;COMPETITOR;SCENT LIBRARY;BODY LOTION –  LONG LASTING;8097B0004;;;;;16/05/2023;False;12/05/2023;HIGH;;;;5.9;6.4;3.8;4.0;5.4;4.5;4.3;5.4;55.9;3.8;3.4;3.5;6.8;70.0;17.0;11.0;0.0;
24;6462292afd2be73cff723c24;COMPETITOR;L'OCCITANE;BODY LOTION –  CHERRY BLOSSOM;8097C0001;;;;;17/05/2023;False;15/05/2023;HIGH;;;;6.1;7.0;3.7;3.7;5.3;4.9;4.9;5.3;49.8;3.8;3.7;3.5;6.4;64.0;17.0;17.0;0.0;
